----------------------------------------------------
*** WARNING ***
Don't use the item ID for anything "proper"!!
It's provided here for completeness's sake, it's different in every world.
----------------------------------------------------
Mod name, Registry name, Item ID, Display name, Tags
----------------------------------------------------
Aquaculture 2, aquaculture:acacia_fish_mount, 1719, Acacia Fish Mount, 
Aquaculture 2, aquaculture:algae, 1793, Algae, aquaculture:tackle_box_green
Aquaculture 2, aquaculture:arapaima, 1677, Arapaima, minecraft:fishes
Aquaculture 2, aquaculture:arapaima_bucket, 1773, Bucket of Arapaima, 
Aquaculture 2, aquaculture:arrau_turtle, 1750, Arrau Turtle, aquaculture:turtle
Aquaculture 2, aquaculture:arrau_turtle_spawn_egg, 1767, Arrau Turtle Spawn Egg, 
Aquaculture 2, aquaculture:atlantic_cod, 1717, Atlantic Cod, minecraft:fishes
Aquaculture 2, aquaculture:atlantic_cod_bucket, 1698, Bucket of Atlantic Cod, 
Aquaculture 2, aquaculture:atlantic_halibut, 1701, Atlantic Halibut, minecraft:fishes
Aquaculture 2, aquaculture:atlantic_halibut_bucket, 1794, Bucket of Atlantic Halibut, 
Aquaculture 2, aquaculture:atlantic_herring, 1776, Atlantic Herring, minecraft:fishes
Aquaculture 2, aquaculture:atlantic_herring_bucket, 1723, Bucket of Atlantic Herring, 
Aquaculture 2, aquaculture:bayad, 1680, Bayad, minecraft:fishes
Aquaculture 2, aquaculture:bayad_bucket, 1798, Bucket of Bayad, 
Aquaculture 2, aquaculture:birch_fish_mount, 1766, Birch Fish Mount, 
Aquaculture 2, aquaculture:blackfish, 1772, Blackfish, minecraft:fishes
Aquaculture 2, aquaculture:blackfish_bucket, 1695, Bucket of Blackfish, 
Aquaculture 2, aquaculture:bluegill, 1758, Bluegill, minecraft:fishes
Aquaculture 2, aquaculture:bluegill_bucket, 1786, Bucket of Bluegill, 
Aquaculture 2, aquaculture:bobber, 1792, Bobber, aquaculture:bobber
Aquaculture 2, aquaculture:boulti, 1724, Boulti, minecraft:fishes
Aquaculture 2, aquaculture:boulti_bucket, 1782, Bucket of Boulti, 
Aquaculture 2, aquaculture:box, 1728, Box, 
Aquaculture 2, aquaculture:box_turtle, 1762, Box Turtle, aquaculture:turtle
Aquaculture 2, aquaculture:box_turtle_spawn_egg, 1687, Box Turtle Spawn Egg, 
